m,3m,6m,ytd,y,yy,category
1.45000,6.52000,10.45000,6.52000,20.65000,7.72000,U.S. Equity
0.63000,1.76000,2.32000,1.76000,6.90000,2.24000,Global Neutral Balanced
0.39000,1.16000,3.78000,1.16000,10.61000,1.95000,Canadian Neutral Balanced
0.18000,2.13000,5.65000,2.13000,9.89000,3.57000,Canadian Equity Balanced
-0.32000,1.24000,0.46000,1.24000,6.33000,1.20000,Tactical Balanced
1.16000,1.07000,5.64000,1.07000,14.78000,3.90000,Canadian Equity
1.16000,1.13000,4.04000,1.13000,11.08000,-1.93000,Canadian Equity
1.17000,1.16000,4.10000,1.16000,11.20000,-1.82000,Canadian Equity
-2.26000,-7.05000,-0.16000,-7.05000,26.35000,4.41000,Natural Resources Equity
0.27000,0.98000,-0.82000,0.98000,2.71000,0.86000,Canadian Fixed Income Balanced
0.55000,0.91000,9.17000,0.91000,15.23000,6.93000,Canadian Dividend & Income Equity
0.55000,0.92000,9.19000,0.92000,15.27000,6.97000,Canadian Dividend & Income Equity
0.41000,2.07000,0.87000,2.07000,7.08000,1.32000,Canadian Equity Balanced
0.22000,0.69000,-3.02000,0.69000,-0.14000,-0.89000,Canadian Fixed Income
1.22000,5.09000,4.61000,5.09000,12.98000,7.37000,Global Equity
1.52000,5.42000,7.99000,5.42000,15.60000,7.18000,Global Equity
0.28000,0.45000,-5.83000,0.45000,-2.05000,1.58000,Global Fixed Income
0.28000,0.45000,-5.83000,0.45000,-2.05000,1.58000,Global Fixed Income
0.72000,1.64000,2.17000,1.64000,7.21000,0.70000,Canadian Neutral Balanced
0.40000,1.33000,0.35000,1.33000,4.32000,1.43000,Canadian Fixed Income Balanced
0.35000,0.20000,0.94000,0.20000,2.31000,1.98000,Miscellaneous - Income and Real Property
-1.90000,-0.22000,9.58000,-0.22000,13.00000,3.41000,U.S. Equity
2.07000,6.44000,8.16000,6.44000,20.14000,8.30000,Global Equity
0.54000,1.64000,4.43000,1.64000,9.60000,10.11000,Real Estate Equity
-0.45000,3.38000,7.64000,3.38000,14.92000,6.16000,U.S. Equity
-0.03000,4.52000,10.85000,4.52000,16.69000,6.32000,U.S. Equity
-0.20000,0.88000,2.26000,0.88000,8.01000,3.04000,Tactical Balanced
1.11000,3.16000,5.93000,3.16000,13.34000,1.47000,Canadian Focused Equity
1.60000,0.63000,3.83000,0.63000,16.61000,4.13000,Canadian Focused Small/Mid Cap Equity
-1.50000,3.12000,-8.63000,3.12000,1.18000,-10.61000,Sector Equity
1.04000,3.49000,6.36000,3.49000,15.01000,7.34000,Global Equity Balanced
1.86000,5.77000,6.12000,5.77000,17.53000,5.06000,International Equity
0.80000,3.29000,4.97000,3.29000,12.19000,3.12000,Global Equity Balanced
0.52000,2.24000,2.53000,2.24000,8.83000,2.07000,Global Neutral Balanced
1.15000,3.01000,4.45000,3.01000,10.26000,2.48000,Global Equity Balanced
0.82000,2.43000,2.74000,2.43000,8.19000,1.82000,Global Neutral Balanced
0.57000,1.94000,1.33000,1.94000,6.52000,1.48000,Global Neutral Balanced
0.70000,2.92000,6.83000,2.92000,12.63000,2.25000,Global Neutral Balanced
6.16000,13.47000,1.71000,13.47000,12.59000,4.06000,Asia Pacific Equity
0.76000,2.21000,3.42000,2.21000,9.76000,3.43000,Canadian Fixed Income Balanced
0.43000,1.61000,-1.58000,1.61000,2.77000,1.79000,Canadian Fixed Income
0.34000,1.00000,-2.75000,1.00000,0.51000,0.08000,Canadian Fixed Income
1.76000,2.40000,4.97000,2.40000,14.42000,3.13000,Canadian Equity
1.31000,1.40000,7.76000,1.40000,17.26000,3.92000,Canadian Equity
0.04000,0.40000,-0.35000,0.40000,0.24000,0.19000,Canadian Short Term Fixed Income
0.02000,0.05000,0.09000,0.05000,0.18000,0.16000,Canadian Money Market
0.77000,1.55000,7.09000,1.55000,15.52000,4.42000,Canadian Dividend & Income Equity
3.53000,12.41000,8.46000,12.41000,23.00000,4.73000,Emerging Markets Equity
4.61000,6.93000,-0.27000,6.93000,-1.81000,-3.13000,European Equity
1.59000,3.65000,-0.34000,3.65000,2.10000,2.14000,Global Fixed Income
4.36000,7.06000,3.42000,7.06000,7.54000,0.35000,International Equity
3.15000,6.46000,7.06000,6.46000,13.50000,2.68000,International Equity
1.25000,3.76000,3.31000,3.76000,9.71000,3.41000,Global Equity Balanced
1.44000,4.05000,4.38000,4.05000,11.29000,4.13000,Global Equity Balanced
0.51000,1.68000,0.89000,1.68000,4.16000,1.56000,Canadian Fixed Income Balanced
0.03000,0.08000,0.15000,0.08000,0.28000,0.25000,Canadian Money Market
0.84000,2.64000,4.00000,2.64000,10.76000,3.40000,Canadian Neutral Balanced
0.03000,0.35000,-0.48000,0.35000,0.16000,-0.09000,Canadian Short Term Fixed Income
0.68000,2.57000,2.44000,2.57000,7.54000,1.94000,Global Neutral Balanced
0.08000,0.25000,0.44000,0.25000,0.77000,0.51000,U.S. Money Market
0.81000,5.34000,11.95000,5.34000,20.40000,11.96000,U.S. Equity
0.83000,1.96000,2.01000,1.96000,4.14000,3.70000,Global Small/Mid Cap Equity
0.74000,0.28000,1.86000,0.28000,7.30000,1.24000,Canadian Equity
0.17000,-0.58000,0.46000,-0.58000,1.69000,-0.71000,Short Term Target Date Portfolio
0.65000,1.78000,0.06000,1.78000,5.80000,0.87000,2035+ Target Date Portfolio
0.75000,1.83000,0.73000,1.83000,7.30000,1.26000,2035+ Target Date Portfolio
1.07000,2.63000,4.29000,2.63000,9.82000,4.86000,Global Neutral Balanced
0.44000,1.55000,1.94000,1.55000,6.12000,3.66000,Canadian Fixed Income Balanced
1.47000,3.12000,2.28000,3.12000,5.99000,1.74000,Global Neutral Balanced
1.16000,2.63000,1.56000,2.63000,5.23000,2.02000,Global Fixed Income Balanced
0.65000,1.90000,1.78000,1.90000,6.30000,1.76000,Canadian Neutral Balanced
-0.83000,-5.05000,-8.52000,-5.05000,-10.39000,-15.30000,Retail Venture Capital
1.30000,8.49000,7.38000,8.49000,15.14000,7.38000,U.S. Equity
0.27000,0.89000,-2.89000,0.89000,0.06000,-0.32000,Canadian Fixed Income
2.33000,4.38000,11.41000,4.38000,19.62000,5.10000,Canadian Equity
-0.45000,-3.06000,-3.32000,-3.06000,7.05000,-0.05000,Canadian Small/Mid Cap Equity
1.43000,0.78000,6.27000,0.78000,12.89000,4.86000,Canadian Dividend & Income Equity
1.65000,3.46000,5.47000,3.46000,13.70000,1.40000,Canadian Equity Balanced
